Label,XPath,Strategy,Matches,Action,Value
Salary Frequency,"//*[@data-testid=""dropdown-button"" and contains(., ""Salary Frequency"")]",data-testid+text,1,click,
salary,"//input[@name=""salary""]",name,1,click,
salary,"//input[@name=""salary""]",name,1,change,"$ 13,000.00"
Account Funded,"//*[@data-testid=""dropdown-button"" and contains(., ""Account Funded"")]",data-testid+text,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/div[1],absolute,1,click,
nationalOfTTPrimary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1],absolute,1,click,
nationalOfTTPrimary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1],absolute,1,change,true
Country of birth,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of birth"")]",data-testid+text,1,click,
placeOfBirth,"//*[@id=""placeOfBirth""]",id,1,click,
placeOfBirth,"//*[@id=""placeOfBirth""]",id,1,change,TRINCITY
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,
nationalOfTTSecondary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1],absolute,1,click,
nationalOfTTSecondary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1],absolute,1,change,true
Marital Status,"//*[@data-testid=""dropdown-button"" and contains(., ""Marital Status"")]",data-testid+text,1,click,
SINGLE,"//*[@data-testid=""option-5""]",data-testid,1,click,
Highest Level of Education,"//*[@data-testid=""dropdown-text"" and contains(., ""Highest Level of Education"")]",data-testid+text,1,click,
Communication Method,"//*[@data-testid=""dropdown-text"" and contains(., ""Communication Method"")]",data-testid+text,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
memberOfOtherCreditUnion,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1],absolute,1,click,
memberOfOtherCreditUnion,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1],absolute,1,change,false
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
hasBeneficiary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
hasJointPartner,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
isApplyingForLincuCardApplication,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
isApplyingForFipApplication,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[3]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
isSpouseCoveredByOtherPlan,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[3]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
isSpouseCoveredByOtherPlan,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[3]/div[1]/div[1]/label[2]/input[1],absolute,1,change,false
svg,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[4]/div[1]/div[1]/div[1]/button[1]/span[2]/svg[1],absolute,0,click,
branchName,"//*[@id=""branchName""]",id,1,click,
branchName,"//*[@id=""branchName""]",id,1,change,TRINCITY
accountNo,"//*[@id=""accountNo""]",id,1,click,
accountNo,"//*[@id=""accountNo""]",id,1,change,789654123123654
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[4]/div[2]/div[1]/div[1]/label[1]/div[1],absolute,1,click,
accountType,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[4]/div[2]/div[1]/div[1]/label[1]/input[1],absolute,1,click,
accountType,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[4]/div[2]/div[1]/div[1]/label[1]/input[1],absolute,1,change,true
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[5]/div[1]/div[1]/div[1]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
beneficiary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[5]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1],absolute,1,click,
isAllInformationCorrect,"//input[@name=""isAllInformationCorrect""]",name,1,click,
isAllInformationCorrect,"//input[@name=""isAllInformationCorrect""]",name,1,change,True
isTermsAndConditionsAccepted,"//input[@name=""isTermsAndConditionsAccepted""]",name,1,click,
Accept,"//button[contains(., ""Accept"")]",text,1,click,
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/div[1],absolute,1,click,
hasBeneficiary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1],absolute,1,click,
hasBeneficiary,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1],absolute,1,change,true
